cpu_model
ARM MT8789V/T
Intel Core i7-4790K
Intel Xeon Silver 4314
Intel Xeon E3-1225 V2
Intel Xeon E3-1220
Intel Core i3-4350
Intel N97
Apple M3
AMD EPYC 7452
Intel Core i5-11500H
AMD Ryzen 5 5625U
Intel N150
Intel Pentium T2330
AMD Athlon X4 840
AMD A4-3300M
Intel Core i3-7300
Intel Atom x5-Z8500
AMD Ryzen 5 PRO 4650G
Intel Core i7-13700T
Intel Core i5-4430S
Intel Core i7-5650U
Apple M2 Pro
Intel Core i3-10100
Intel Xeon E5-2696 v4
Intel Xeon E5640
Intel Core i7-5500U
AMD Ryzen 5 9600
AMD EPYC 9354P
Intel Core i3-10110U
Intel Pentium E5800
Intel Xeon Gold 5218R
AMD Ryzen 7 7435HS
AMD EPYC 9174F
AMD Ryzen Threadripper PRO 3975WX
Intel Celeron J3355
Intel Xeon E5-1650 v2
Intel Core i5-2450M
Intel Xeon Platinum 8351N
AMD Ryzen 3 2300X
Intel Core i3-9100F
Intel Core i5-4670S
AMD Ryzen Threadripper 2920X
Intel Core i7-4770S
Intel Core i7-10700K
Intel Core i5-1030NG7
Intel Core i7-10700
Intel Core i5-4258U
Intel Core i7-640LM
Intel Xeon Gold 5317
Intel Core i3-7100
Intel Core i9-9960X
Intel Xeon E5-2690 v3
Intel Xeon E3-1240
Intel Core i5-650
Intel Core 2 Duo E4500
Intel Core i7-12700K
Intel Core i7-4720HQ
Intel Xeon Silver 4110
AMD Ryzen 5 PRO 5650G
AMD A6-5350M
ARM
AMD EPYC 9554P
Apple A12 Bionic
Intel Pentium B950
Intel Xeon E5-1660 v2
Intel Xeon E5504
Intel Core i7-2920XM
AMD A6-5200
AMD A8-9600
Intel Xeon W-3245M
AMD E-450
Intel Core i3-5005U
AMD Ryzen 9 7900X
Intel Core 2 Duo T9300
Apple A10 Fusion
Intel Xeon E3-1220 v6
Intel Xeon E5-2650
Intel Celeron 3955U
Intel Core 2 Quad Q9450
AMD Ryzen 5 PRO 3600
Intel Core M-5Y51
Intel Core i7-4600M
Intel Xeon E5-1680 v2
AMD Athlon X4 870K
Intel Core i3-2125
AMD Ryzen 9 9900X
Intel Xeon E5-1630 v4
AMD Athlon X4 760K
Intel Pentium E2180
Intel Xeon E5540
Snapdragon X Elite - X1E78100 - Qualcomm Oryon
AMD Ryzen 7 PRO 7745
Intel Celeron J3160
Hisilicon
AMD Ryzen 5 5600X3D
Intel Xeon E3-1285L v4
Intel Core i3-1115G4E
Intel Core i5-2310
AMD A6-3620
Intel Core Ultra 9 185H
Intel Pentium P6000
Intel Core 2 Duo E8600
"linux,dummy-virt"
Intel Celeron G4900T
Intel Core i5-13420H
Intel Core i7-11850HE
Intel Xeon E3-1545M v5
